"Id";"Year";"Country_";"Winner";"runners_up";"Third";"GoalsScored";"MatchesPlayed";"Attendance"
0;1930;"Uruguay";"Uruguay";"Argentina";"USA";70;18;590549
1;1934;"Italy";"Italy";"Czechoslovakia";"Germany";70;17;363000
2;1938;"France";"Italy";"Hungary";"Brazil";84;18;375700
3;1950;"Brazil";"Uruguay";"Brazil";"Sweden";88;22;1045246
4;1954;"Switzerland";"Germany FR";"Hungary";"Austria";140;26;768607
5;1958;"Sweden";"Brazil";"Sweden";"France";126;35;819810
6;1962;"Chile";"Brazil";"Czechoslovakia";"Chile";89;32;893172
7;1966;"United Kingdom";"England";"Germany FR";"Portugal";89;32;1563135
8;1970;"Mexico";"Brazil";"Italy";"Germany FR";95;32;1603975
9;1974;"Germany";"Germany FR";"Netherlands";"Poland";97;38;1865753
10;1978;"Argentina";"Argentina";"Netherlands";"Brazil";102;38;1545791
11;1982;"Spain";"Italy";"Germany FR";"Poland";146;52;2109723
12;1986;"Mexico";"Argentina";"Germany FR";"France";132;52;2394031
13;1990;"Italy";"Germany FR";"Argentina";"Italy";115;52;2516215
14;1994;"United States";"Brazil";"Italy";"Sweden";141;52;3587538
15;1998;"France";"France";"Brazil";"Croatia";171;64;2785100
16;2002;"Japan";"Brazil";"Germany";"Turkey";161;64;2705197
17;2006;"Germany";"Italy";"France";"Germany";147;64;3359439
18;2010;"South Africa";"Spain";"Netherlands";"Germany";145;64;3178856
19;2014;"Brazil";"Germany";"Argentina";"Netherlands";171;64;3386810
